Name,Source,Page,Size,Type,Alignment,AC,HP,Speed,Strength,Dexterity,Constitution,Intelligence,Wisdom,Charisma,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,Senses,Languages,CR,Traits,Actions,Bonus Actions,Reactions,Legendary Actions,Mythic Actions,Lair Actions,Regional Effects,Environment
Fire Giant Forgecaller,BGG,138,Huge,Giant (Cleric),any alignment,18 (plate),312 (25d12 + 150),"30 ft., fly 30 ft. (hover)",25,11,23,16,21,18,"Dex +6, Int +9, Wis +11","Athletics +13, Perception +11",,,fire,,passive Perception 21,"Common, Giant",18," Fire Rune. The giant has a fire rune inscribed on a medallion or some other object in its possession. While holding or wearing the object bearing the rune, the giant can use its Magma Wave action and Furnace Armor bonus action.The object bearing the rune has AC 15; 40 hit points; and immunity to necrotic, poison, and psychic damage. The object regains all its hit points at the end of every turn, but it turns to dust if reduced to 0 hit points or when the giant dies. If the rune is destroyed, the giant can inscribe a fire rune on an object in its possession when it finishes a short or long rest. Legendary Resistance (3/Day). If the giant fails a saving throw, it can choose to succeed instead."," Multiattack. The giant makes three Forge Hammer attacks or two Heated Rock attacks. Forge Hammer. Melee Weapon Attack: +13 to hit, reach 10 ft., one target. Hit: 24 (5d6 + 7) bludgeoning damage. Hit or Miss: The giant can cause the hammer to emit a burst of heat in a 30-foot-radius sphere centered on the target. Metal objects in that area glow red-hot until the start of the giant's next turn. Any creature in physical contact with a heated object at the start of its turn must make a DC 19 Constitution saving throw. On a failed save, the creature takes 10 (3d6) fire damage and has disadvantage on attack rolls until the start of its next turn unless it has immunity to fire damage. The hammer can emit heat in this way only once per turn. Heated Rock. Ranged Weapon Attack: +13 to hit, range 60/240 ft., one target. Hit: 23 (3d10 + 7) bludgeoning damage plus 19 (3d12) fire damage. If the target is a Large or smaller creature, it must succeed on a DC 21 Strength saving throw or have the prone condition. After the giant throws the rock, roll a d6; on a roll of 3 or lower, the giant has no more rocks to throw. Magma Wave (Requires Fire Rune). The giant emits a wave of magma from its fire rune in a 30-foot cone. Each creature in that area must make a DC 19 Dexterity saving throw. On a failed save, a creature takes 36 (8d8) fire damage and has the restrained condition. As an action, a creature can make a DC 19 Strength (Athletics) check, freeing itself or a creature within its reach from the rock on a success. The rock restraining each creature has AC 17; 20 hit points; and immunity to fire, poison, and psychic damage. On a successful save, a creature takes half as much damage only."," Furnace Armor (Requires Fire Rune). The giant causes smoke and cinders to billow from its armor, filling a 30-foot-radius sphere centered on the giant. While the armor is billowing smoke, the giant has half cover. The armor stops billowing smoke after 1 minute, when the giant dies, when the giant uses a bonus action to end the effect, or when the giant's fire rune is destroyed.",,,,,,
Fire Giant Royal Headsman,TftYP,201,Huge,Giant,lawful evil,18 (plate armor),162 (13d12 + 78),30 ft.,25,9,23,10,14,13,"Dex +3, Con +10, Cha +5","Athletics +11, Perception +6",,,fire,,passive Perception 16,Giant,9,," Multiattack. The giant makes two greataxe attacks. Greataxe +2. Melee Weapon Attack: +13 to hit, reach 10 ft., one target. Hit: 28 (3d12 + 9) slashing damage. Rock. Ranged Weapon Attack: +11 to hit, range 60/240 ft., one target. Hit: 29 (4d10 + 7) bludgeoning damage.",,,,,,,
Fire Giant Servant,TftYP,171,Huge,Giant,chaotic evil,13 (natural armor),105 (10d12 + 40),40 ft.,21,8,19,5,9,6,,Perception +2,,,fire,,passive Perception 12,Giant,5,," Multiattack. The giant makes two longsword attacks. Longsword. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 18 (3d8 + 5) slashing damage, or 21 (3d10 + 5) slashing damage if used with both hands. Rock. Ranged Weapon Attack: +8 to hit, range 60/240 ft., one target. Hit: 21 (3d10 + 5) bludgeoning damage.",,,,,,,
Fire Giant of Evil Fire,BGG,139,Huge,Giant,lawful evil,18 (plate),150 (12d12 + 72),30 ft.,25,9,23,10,19,14,"Con +10, Wis +8, Cha +6","Athletics +11, Perception +8",,,fire,,passive Perception 18,"Common, Giant, Ignan",10," Shrapnel Explosion. When the giant drops to 0 hit points, its armor explodes, destroying the giant's body and scattering the armor as shrapnel. Creatures within 10 feet of the giant when its armor explodes must make a DC 18 Dexterity saving throw, taking 21 (6d6) piercing damage on a failed save, or half as much damage on a successful one."," Multiattack. The giant makes two Searing Scepter attacks or two Bolt of Imix attacks. Searing Scepter. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 17 (3d6 + 7) bludgeoning damage plus 9 (2d8) fire damage, and the target is magically branded. While branded in this way, the target becomes visible if it's invisible, can't become invisible, and sheds dim light in a 5-foot radius. The brand disappears after 24 hours, or it can be removed from a creature or an object by any spell that ends a curse. Bolt of Imix. Ranged Spell Attack: +8 to hit, range 120 ft., one target. Hit: 20 (3d10 + 4) fire damage, and the target must succeed on a DC 16 Wisdom saving throw or have the frightened condition until the end of the target's next turn.",,,,,,,
Fire Hellion,BGG,140,Huge,Fiend (Devil),lawful evil,18 (plate),175 (14d12 + 84),30 ft.,25,10,23,16,14,21,"Wis +6, Cha +9","Arcana +7, Athletics +11, Perception +6",,,fire,"charmed, frightened","darkvision 120 ft., passive Perception 16","Common, Giant, Infernal",11," Magic Resistance. The hellion has advantage on saving throws against spells and other magical effects. Soul Taker. A Giant or a Humanoid that is reduced to 0 hit points by the hellion dies, and its soul rises as a lemure (see the Monster Manual) on Avernus, one of the Nine Hells, in 1d4 hours. If the creature isn't revived before then, it can be restored to life only by a wish spell or by killing the lemure and casting true resurrection on the creature's original body."," Multiattack. The hellion makes two Morningstar attacks. Morningstar. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 20 (3d8 + 7) piercing damage plus 11 (2d10) fire damage. If the target is a creature, it can't regain hit points until the start of the hellion's next turn. Infernal Orb. The hellion hurls a magical ball of fire that explodes in a 20-foot-radius sphere centered on a point the hellion can see within 120 feet of itself. The sphere spreads around corners. Each creature in that area must make a DC 17 Dexterity saving throw. A creature takes 18 (4d8) fire damage and 18 (4d8) necrotic damage on a failed save, or half as much damage on a successful one.",,,,,,,
Fire Snake,MM,265,Medium,Elemental,neutral evil,14 (natural armor),22 (5d8),30 ft.,12,14,11,7,10,8,,,cold,"bludgeoning, piercing, and slashing from nonmagical attacks",fire,,"darkvision 60 ft., passive Perception 10",understands Ignan but can't speak,1, Heated Body. A creature that touches the snake or hits it with a melee attack while within 5 feet of it takes 3 (1d6) fire damage.," Multiattack. The snake makes two attacks: one with its bite and one with its tail. Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) piercing damage plus 3 (1d6) fire damage. Tail. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) bludgeoning damage plus 3 (1d6) fire damage.",,,,,,,Underdark
Firefist,GGR,231,Medium,Humanoid (Any Race),lawful good,18 (plate armor),117 (18d8 + 36),30 ft.,16,10,14,11,17,13,"Con +5, Wis +6","Intimidation +4, Religion +3",,,,,passive Perception 13,any one language (usually Common),7," Spellcasting. The firefist is a 9th-level Boros spellcaster. Its spellcasting ability is Wisdom (spell save DC 14, +6 to hit with spell attacks). It has the following cleric spells prepared:Cantrips (at will): fire bolt, light, sacred flame, spare the dying1st level (4 slots): guiding bolt, healing word, heroism, shield of faith2nd level (3 slots): lesser restoration, scorching ray3rd level (3 slots): blinding smite, crusader's mantle, revivify4th level (3 slots): banishment, wall of fire5th level (1 slot): flame strike"," Multiattack. The firefist makes two greatsword attacks. Greatsword. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage.",," Guided Attack (Recharges after a Short or Long Rest). When the firefist or one creature it can see within 30 feet of it makes an attack roll, the firefist grants a +10 bonus to that roll.",,,,,
Firegaunt,BGG,137,Huge,Undead,lawful evil,15 (damaged plate),175 (14d12 + 84),40 ft.,25,7,23,10,14,13,"Dex +2, Con +10, Cha +5","Athletics +11, Perception +6",,necrotic,"fire, poison","exhaustion, petrified, poisoned",passive Perception 16,Giant,11," Fire Blood. Whenever a creature within 5 feet of the firegaunt hits the firegaunt with a melee attack that deals piercing or slashing damage, that creature takes 5 (1d10) fire damage."," Multiattack. The firegaunt makes two Heated Maul attacks. Heated Maul. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: 23 (3d10 + 7) bludgeoning damage. The firegaunt can cause the maul to erupt with crimson flames, and the target must succeed on a DC 18 Dexterity saving throw or take 10 (3d6) fire damage and 10 (3d6) necrotic damage. The maul can erupt with flames in this way only once per turn. Crimson Rays (Recharge 5–6). The firegaunt emits beams of fire from its eyes, mouth, and wounds in a 30-foot cone. Each creature in that area must make a DC 18 Dexterity saving throw, taking 31 (7d8) fire damage on a failed save, or half as much damage on a successful one. On a success or failure, that creature catches fire. Until the burning creature or another creature that can reach it takes an action to extinguish the fire, the burning creature can't regain hit points and takes 5 (1d10) fire damage at the start of each of its turns.",,,,,,,
Firemane Angel,GGR,190,Medium,Celestial,chaotic good,18 (plate armor),135 (18d8 + 54),"40 ft., fly 120 ft.",22,15,17,12,14,23,"Str +10, Wis +6, Cha +10","Insight +6, Perception +6",,"fire, radiant; bludgeoning, piercing, and slashing from nonmagical attacks",,"charmed, exhaustion, frightened","truesight 120 ft., passive Perception 16",all,12," Flyby. The angel doesn't provoke an opportunity attack when it flies out of an enemy's reach. Innate Spellcasting. The angel's innate spellcasting ability is Charisma (spell save DC 18, +10 to hit with spell attacks). The angel can innately cast the following spells, requiring no material components:3/day each: compelled duel, guiding bolt (as a 5th-level spell)1/day each: daylight, fireball (as a 6th-level spell) Magic Resistance. The angel has advantage on saving throws against spells and other magical effects. Relentless (Recharges after a Short or Long Rest). If the angel takes 21 damage or less that would reduce it to 0 hit points, it is reduced to 1 hit point instead."," Multiattack. The angel makes two melee attacks. Longsword. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 10 (1d8 + 6) slashing damage, or 11 (1d10 + 6) slashing damage if used with two hands, plus 22 (5d8) fire or radiant damage (angel's choice).",,,,,,,
Firenewt Warlock of Imix,MPMM,125,Medium,Elemental,neutral evil,10,33 (6d8 + 6),30 ft.,13,11,12,9,11,14,,,,,fire,,"darkvision 120 ft., passive Perception 10","Draconic, Ignan",1," Amphibious. The firenewt can breathe air and water. Devil's Sight. Magical darkness doesn't impede the firenewt's darkvision. Imix's Blessing. When the firenewt reduces an enemy to 0 hit points, the firenewt gains 5 temporary hit points."," Multiattack. The firenewt makes three Morningstar or Fire Ray attacks. Morningstar. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 5 (1d8 + 1) piercing damage. Fire Ray. Ranged Spell Attack: +4 to hit, range 120 ft., one target. Hit: 5 (1d6 + 2) fire damage. Spellcasting. The firenewt casts one of the following spells, using Charisma as the spellcasting ability (spell save DC 12):At will: guidance, light, mage armor, mage hand, prestidigitation",,,,,,,"Hill, Mountain, Underdark"
Firenewt Warrior,MPMM,125,Medium,Elemental,neutral,13 (shield),27 (5d8 + 5),30 ft.,10,13,12,7,11,8,,,,,fire,,passive Perception 10,"Draconic, Ignan",1, Amphibious. The firenewt can breathe air and water.," Multiattack. The firenewt makes two Scimitar attacks. Scimitar. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) slashing damage. Spit Fire (Recharges after a Short or Long Rest). The firenewt spits fire at a creature within 10 feet of it. The creature must make a DC 11 Dexterity saving throw, taking 9 (2d8) fire damage on a failed save, or half as much damage on a successful one.",,,,,,,"Desert, Hill, Mountain, Underdark"
First-Year Student,SCC,191,Small or Medium,Humanoid (Wizard),any alignment,11,33 (6d8 + 6),30 ft.,8,12,13,12,10,11,,,,,,,passive Perception 10,Common plus any two languages,1, Excited to Be Here. The student has advantage on initiative rolls.," Magic Flare. Melee or Ranged Spell Attack: +3 to hit, reach 5 ft. or range 60 ft., one target. Hit: 7 (1d12 + 1) force damage. Spellcasting. The student casts one of the following spells, using Intelligence as the spellcasting ability (spell save DC 11):At will: mage hand, prestidigitation1/day: detect magic",," Beginner's Luck (2/Day). When the student fails a saving throw, it can reroll the d20. It must use the new roll.",,,,,
Fish,GoS,224,Tiny,Beast,unaligned,13,1 (1d4 - 1),"0 ft., swim 40 ft.",2,16,9,1,7,2,,,,,,,"darkvision 60 ft., passive Perception 8",—,0, Water Breathing. The fish can breathe only underwater.,,,,,,,,
Fist of Bane,BGDIA,232,Medium,Humanoid (Human),lawful evil,"18 (chain mail, shield)",22 (4d8 + 4),30 ft.,16,11,13,10,12,11,,,,,,frightened,passive Perception 11,Common,1, Tactical Discipline. The fist of Bane has advantage on all ability checks and saving throws made during combat.," Mace. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) bludgeoning damage. Longbow. Ranged Weapon Attack: +2 to hit, range 150/600 ft., one target. Hit: 4 (1d8) piercing damage.",,,,,,,
Five-Armed Troll,WDMM,154,Large,Giant,chaotic evil,15 (natural armor),84 (8d10 + 40),30 ft.,18,13,20,7,9,7,,Perception +2,,,,,"darkvision 60 ft., passive Perception 12",Giant,8," Keen Smell. The troll has advantage on Wisdom (Perception) checks that rely on smell. Regeneration. The troll regains 10 hit points at the start of its turn. If the troll takes acid or fire damage, this trait doesn't function at the start of the troll's next turn. The troll dies only if it starts its turn with 0 hit points and doesn't regenerate."," Multiattack. The troll makes six attacks: one with its bite and five with its claws. Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) piercing damage. Claw. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.",,,,,,,
Flail Snail,MPMM,126,Large,Elemental,unaligned,16 (natural armor),52 (5d10 + 25),10 ft.,17,5,20,3,10,5,,,,,"fire, poison",poisoned,"darkvision 60 ft., tremorsense 60 ft., passive Perception 10",—,3," Antimagic Shell. The snail has advantage on saving throws against spells, and any creature making a spell attack against the snail has disadvantage on the attack roll.If the snail succeeds on its saving throw against a spell or a spell's attack roll misses it, the snail's shell converts some of the spell's energy into a burst of destructive force if the spell is of 1st level or higher; each creature within 30 feet of the snail must make a DC 15 Constitution saving throw, taking 3 (1d6) force damage per level of the spell on a failed save, or half as much damage on a successful one."," Multiattack. The snail makes five Flail Tentacle attacks. Flail Tentacle. Melee Weapon Attack: +5 to hit, reach 10 ft., one target. Hit: 5 (1d4 + 3) bludgeoning damage. Scintillating Shell (Recharges after a Short or Long Rest). The snail's shell emits dazzling, colored light until the end of the snail's next turn. During this time, the shell sheds bright light in a 30-foot radius and dim light for an additional 30 feet, and creatures that can see the snail have disadvantage on attack rolls against it. In addition, any creature within the bright light and able to see the snail when this power is activated must succeed on a DC 15 Wisdom saving throw or be stunned until the light ends. Shell Defense. The flail snail withdraws into its shell. Until it emerges, it gains a +4 bonus to its AC and is restrained. It can emerge from its shell as a bonus action on its turn.",,,,,,,"Forest, Swamp, Underdark"
Flameskull,MM,134,Tiny,Undead,neutral evil,13,40 (9d4 + 18),"0 ft., fly 40 ft. (hover)",1,17,14,16,10,11,,"Arcana +5, Perception +2",,"lightning, necrotic, piercing","cold, fire, poison","charmed, frightened, paralyzed, poisoned, prone","darkvision 60 ft., passive Perception 12",Common,4," Illumination. The flameskull sheds either dim light in a 15-foot radius, or bright light in a 15-foot radius and dim light for an additional 15 feet. It can switch between the options as an action. Magic Resistance. The flameskull has advantage on saving throws against spells and other magical effects. Rejuvenation. If the flameskull is destroyed, it regains all its hit points in 1 hour unless holy water is sprinkled on its remains or a dispel magic or remove curse spell is cast on them. Spellcasting. The flameskull is a 5th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 13, +5 to hit with spell attacks). It requires no somatic or material components to cast its spells. The flameskull has the following wizard spells prepared:Cantrips (at will): mage hand1st level (3 slots): magic missile, shield2nd level (2 slots): blur, flaming sphere3rd level (1 slot): fireball"," Multiattack. The flameskull uses Fire Ray twice. Fire Ray. Ranged Spell Attack: +5 to hit, range 30 ft., one target. Hit: 10 (3d6) fire damage.",,,,,,,Underdark
Flamewrath,PotA,201,Medium,Humanoid (Human),chaotic evil,12 (15 with mage armor),105 (14d8 + 42),30 ft.,10,14,16,11,10,16,,"Arcana +3, Religion +3",,,fire,,passive Perception 10,"Common, Ignan",6," Spellcasting. The flamewrath is a 7th-level spellcaster. Its spellcasting ability is Charisma (spell save DC 14, +6 to hit with spell attacks). It knows the following sorcerer spells:Cantrips (at will): control flames, fire bolt, friends, light, minor illusion1st level (4 slots): burning hands, color spray, mage armor2nd level (3 slots): scorching ray, suggestion3rd level (3 slots): fireball, hypnotic pattern4th level (1 slot): fire shield (see Wreathed in Flame) Wreathed in Flame. For the flamewrath, the warm version of the fire shield spell has a duration of ""until dispelled."" The fire shield burns for 10 minutes after the flamewrath dies, consuming its body."," Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.",,,,,,,
Fleecemane Lion,MOT,223,Large,Monstrosity,unaligned,15 (natural armor),45 (6d10 + 12),50 ft.,19,16,14,6,14,10,"Str +6, Con +4","Perception +4, Stealth +5",,,,,passive Perception 14,—,3," Keen Smell. The lion has advantage on Wisdom (Perception) checks that rely on smell. Pounce. If the lion moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 14 Strength saving throw or be knocked prone. If the target is prone, the lion can make one bite attack against it as a bonus action. Running Leap. With a 10-foot running start, the lion can long jump up to 25 feet. Spell Turning. The lion has advantage on saving throws against any spell that targets only the lion (not an area). If the lion's saving throw succeeds and the spell is of 4th level or lower, the spell has no effect on the lion and instead targets the caster."," Multiattack. The lion makes two attacks: one with its bite and one with its claw. Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage. Claw. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) slashing damage.",,, Claw. The lion makes one claw attack. Roar (Costs 2 Actions). The lion emits a magical roar. Each creature within 60 feet of the lion that can hear the roar must succeed on a DC 12 Wisdom saving throw or be frightened of the lion until the end of the lion's next turn.,,,,
Flesh Colossus,BGG,141,Gargantuan,Construct,unaligned,14 (natural armor),280 (16d20 + 112),60 ft.,24,9,24,6,10,5,,,,,"lightning, poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks","charmed, exhaustion, frightened, paralyzed, petrified, poisoned","darkvision 120 ft., passive Perception 10",understands Giant but can't speak,20," Berserk. If the core inside the colossus is destroyed, the colossus goes berserk. On each of its turns while berserk, the colossus attacks the nearest creature it can see. If no creature is near enough to move to and attack, the colossus attacks an object. Once the colossus goes berserk, it remains berserk until it is destroyed. Immutable Form. The colossus is immune to any spell or effect that would alter its form. Magic Resistance. The colossus has advantage on saving throws against spells and other magical effects. Siege Monster. The colossus deals double damage to objects and structures."," Multiattack. The colossus makes two Fist attacks. Fist. Melee Weapon Attack: +13 to hit (with advantage if the colossus is berserk), reach 20 ft., one target. Hit: 17 (3d6 + 7) bludgeoning damage. If the target is a Large or smaller creature, it is pulled up to 15 feet toward the colossus, it has the grappled condition (escape DC 17), and it has the restrained condition until this grapple ends. The colossus can have up to two creatures grappled this way at a time. Elemental Breath (Recharge 5–6). The colossus exhales a cloud swirling with elemental energy in a 90-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw. On a failed save, a creature takes 40 (9d8) damage of a type of the colossus's choosing: acid, cold, fire, or lightning. On a successful save, a creature takes half as much damage.At the same time as the colossus releases this exhalation, creatures inside the colossus's chest cavity take 40 (9d8) force damage from churning elemental energy."," Bite. Melee Weapon Attack: +13 to hit, reach 5 ft., one Large or smaller creature grappled by the colossus. Hit: 20 (3d8 + 7) bludgeoning damage, and the creature is swallowed. A swallowed creature has the restrained condition, has total cover against attacks and other effects outside the colossus, and takes 10 (3d6) force damage at the start of each of the colossus's turns.The colossus's chest cavity can hold up to two creatures at a time. Inside its chest cavity is its core, which is a Large object with AC 16 that is immune to lightning, poison, and psychic damage. It has 140 hit points and sheds dim light in a 10-foot radius. If the core is destroyed, the colossus regurgitates all swallowed creatures, each of which falls in a space within 10 feet of the colossus and has the prone condition, and the colossus can no longer swallow a creature. If the colossus dies, any swallowed creature no longer has the restrained condition and can escape from the corpse using 10 feet of movement, exiting with the prone condition.",,,,,,
Flesh Golem,MM,169,Medium,Construct,neutral,9,93 (11d8 + 44),30 ft.,19,9,18,6,10,5,,,,,"lightning, poison; bludgeoning, piercing, and slashing from nonmagical attacks that aren't adamantine","charmed, exhaustion, frightened, paralyzed, petrified, poisoned","darkvision 60 ft., passive Perception 10",understands the languages of its creator but can't speak,5," Aversion of Fire. If the golem takes fire damage, it has disadvantage on attack rolls and ability checks until the end of its next turn. Berserk. Whenever the golem starts its turn with 40 hit points or fewer, roll a d6. On a 6, the golem goes berserk. On each of its turns while berserk, the golem attacks the nearest creature it can see. If no creature is near enough to move to and attack, the golem attacks an object, with preference for an object smaller than itself. Once the golem goes berserk, it continues to do so until it is destroyed or regains all its hit points.The golem's creator, if within 60 feet of the berserk golem, can try to calm it by speaking firmly and persuasively. The golem must be able to hear its creator, who must take an action to make a DC 15 Charisma (Persuasion) check. If the check succeeds, the golem ceases being berserk. If it takes damage while still at 40 hit points or fewer, the golem might go berserk again. Immutable Form. The golem is immune to any spell or effect that would alter its form. Lightning Absorption. Whenever the golem is subjected to lightning damage, it takes no damage and instead regains a number of hit points equal to the lightning damage dealt. Magic Resistance. The golem has advantage on saving throws against spells and other magical effects. Magic Weapons. The golem's weapon attacks are magical."," Multiattack. The golem makes two slam attacks. Slam. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) bludgeoning damage.",,,,,,,
Flesh Meld,PaBTSO,207,Huge,Aberration,chaotic evil,12,95 (10d12 + 30),"30 ft., climb 30 ft.",21,14,17,7,13,5,"Str +8, Dex +5",,,,,"blinded, prone","blindsight 60 ft. (can't see beyond this radius), passive Perception 11",understands all but can't speak,7," Amorphous. The flesh meld can move through a space as narrow as 1 inch without squeezing. Aura of Death. At the start of each of the flesh meld's turns, each creature within 5 feet of it must succeed on a DC 15 Constitution saving throw or take 3 (1d6) necrotic damage and have the poisoned condition until the start of the flesh meld's next turn. Magic Resistance. The flesh meld has advantage on saving throws against spells and other magical effects. Spider Climb. The flesh meld can climb difficult surfaces, including ceilings, without needing to make an ability check."," Multiattack. The flesh meld makes two Bite attacks. Bite. Melee Weapon Attack: +8 to hit, reach 30 ft., one target. Hit: 16 (2d10 + 5) piercing damage, and if the target is a Large or smaller creature, it has the grappled condition (escape DC 15) and is pulled up to 15 feet toward the flesh meld."," Consume Creature. The flesh meld targets one Large or smaller creature within 5 feet of itself that it's grappling. The target must succeed on a DC 15 Dexterity saving throw or be swallowed by the flesh meld. The flesh meld can have one creature swallowed at a time.A swallowed creature no longer has the grappled condition. While swallowed, it has the blinded and restrained conditions, has total cover against attacks and other effects outside the flesh meld, and takes 10 (3d6) necrotic damage at the start of each of the flesh meld's turns. If this damage reduces a swallowed creature to 0 hit points, the creature dies, and the flesh meld consumes its body.If the flesh meld takes 30 damage or more on a single turn from the swallowed creature, the flesh meld must succeed on a DC 15 Constitution saving throw at the end of that turn or regurgitate the creature, which falls with the prone condition in a space within 5 feet of the flesh meld. If the flesh meld dies, the swallowed creature is no longer restrained by it and can escape from the corpse by using 10 feet of movement, exiting with the prone condition.",,,,,,
Flind,MPMM,127,Medium,Fiend (Gnoll),chaotic evil,16 (breastplate),127 (15d8 + 60),30 ft.,20,14,19,11,13,12,"Con +8, Wis +5","Intimidation +5, Perception +5",,,,,"darkvision 60 ft., passive Perception 15","Gnoll, Abyssal",9," Aura of Blood Thirst. If the flind isn't incapacitated, any creature with the Rampage trait can make a Bite attack as a bonus action while within 10 feet of the flind."," Multiattack. The flind makes one Flail of Chaos attack, one Flail of Pain attack, and one Flail of Paralysis attack, or it makes three Longbow attacks. Flail of Chaos. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 10 (1d10 + 5) bludgeoning damage, and the target must make a DC 16 Wisdom saving throw. On a failed save, the target must use its reaction, if available, to make one melee attack against a random creature, other than the flind, within its reach. If there's no creature within reach, the target instead moves half its speed in a random direction. Flail of Pain. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 10 (1d10 + 5) bludgeoning damage plus 16 (3d10) psychic damage. Flail of Paralysis. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 10 (1d10 + 5) bludgeoning damage, and the target must succeed on a DC 16 Constitution saving throw or be paralyzed until the end of its next turn. Longbow. Ranged Weapon Attack: +6 to hit, range 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage.",,,,,,,"Coastal, Forest, Grassland, Hill"
Flitterstep Eidolon,MOT,222,Medium,Undead,any alignment,14,44 (8d8 + 8),40 ft.,8,18,13,11,12,10,,"Perception +3, Stealth +8",,"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",poison,"charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, restrained",passive Perception 13,the languages it knew in life,3," Blurred Form. Attack rolls against the eidolon are made with disadvantage unless the eidolon is incapacitated. Evasion. If the eidolon is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, the eidolon instead takes no damage if it succeeds on the saving throw, and only half damage if it fails. It can't use this trait if it's incapacitated. Incorporeal Movement. The eidolon can move through other creatures and objects as if they were difficult terrain. It takes 5 (1d10) force damage if it ends its turn inside an object. Turn Resistance. The eidolon has advantage on saving throws against any effect that turns undead."," Multiattack. The eidolon makes two melee attacks. Immediately before or after one of its attacks, it can use Flitterstep if it is available. Flickering Dagger. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d4 + 4) piercing damage plus 3 (1d6) psychic damage. Flitterstep (Recharge 5–6). The eidolon magically teleports to an unoccupied space it can see within 30 feet of it. If it makes an attack immediately after teleporting, it has advantage on the attack roll.",,,,,,,
Flumph,MM,135,Small,Aberration,lawful good,12,7 (2d6),"5 ft., fly 30 ft.",6,15,10,14,14,11,,"Arcana +4, History +4, Religion +4",psychic,,,,"darkvision 60 ft., passive Perception 12","understands Undercommon but can't speak, telepathy 60 ft.",1," Advanced Telepathy. The flumph can perceive the content of any telepathic communication used within 60 feet of it, and it can't be surprised by creatures with any form of telepathy. Prone Deficiency. If the flumph is knocked prone, roll a die. On an odd result, the flumph lands upside-down and is incapacitated. At the end of each of its turns, the flumph can make a DC 10 Dexterity saving throw, righting itself and ending the incapacitated condition if it succeeds. Telepathic Shroud. The flumph is immune to any effect that would sense its emotions or read its thoughts, as well as all divination spells."," Tendrils. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 4 (1d4 + 2) piercing damage plus 2 (1d4) acid damage. At the end of each of its turns, the target must make a DC 10 Constitution saving throw, taking 2 (1d4) acid damage on a failure or ending the recurring acid damage on a success. A lesser restoration spell cast on the target also ends the recurring acid damage. Stench Spray (1/Day). Each creature in a 15-foot cone originating from the flumph must succeed on a DC 10 Dexterity saving throw or be coated in a foul-smelling liquid. A coated creature exudes a horrible stench for 1d4 hours. The coated creature is poisoned as long as the stench lasts, and other creatures are poisoned while with in 5 feet of the coated creature. A creature can remove the stench on itself by using a short rest to bathe in water, alcohol, or vinegar.",,,,,,,Underdark
